Monster,Name,Description,Type,Tier,Points,Complete
Grotesque Guardians,Grotesque Guardians Speed-Chaser,Kill the Grotesque Guardians in less than 1:40 minutes.,Speed,Master,5,Y
Grotesque Guardians,Grotesque Guardians Speed-Runner,Kill the Grotesque Guardians in less than 1:20 minutes.,Speed,Grandmaster,6,
Hellhound,A Demon's Best Friend,Kill a Hellhound.,Kill Count,Easy,1,Y
Hespori,Weed Whacker,Kill all of Hesporis flowers within 5 seconds.,Mechanical,Hard,3,Y
Hespori,Hesporisn't,Finish off Hespori with a special attack.,Mechanical,Hard,3,Y
Hespori,Hespori Adept,Kill Hespori 5 times.,Kill Count,Hard,3,Y
Hespori,Plant-Based Diet,Kill Hespori without losing any prayer points.,Restriction,Elite,4,Y
Hespori,Hespori Speed-Trialist,Kill the Hespori in less than 48 seconds.,Speed,Elite,4,Y
Hespori,Hespori Speed-Chaser,Kill the Hespori in less than 36 seconds.,Speed,Master,5,Y
Kalphite Queen,Chitin Penetrator,Kill the Kalphite Queen while her defence was last lowered by you.,Mechanical,Hard,3,Y
Kalphite Queen,Kalphite Queen Adept,Kill the Kalphite Queen 25 times.,Kill Count,Hard,3,Y
Kalphite Queen,Kalphite Queen Veteran,Kill the Kalphite Queen 50 times.,Kill Count,Elite,4,Y
Kalphite Queen,Prayer Smasher,Kill the Kalphite Queen using only the Verac's Flail as a weapon.,Restriction,Elite,4,Y
Kalphite Queen,Insect Deflection,Kill the Kalphite Queen by using the Vengeance spell as the finishing blow.,Mechanical,Elite,4,Y
King Black Dragon,King Black Dragon Novice,Kill the King Black Dragon 10 times.,Kill Count,Easy,1,Y
King Black Dragon,Claw Clipper,Kill the King Black Dragon with the Protect from Melee prayer activated.,Mechanical,Medium,2,Y
King Black Dragon,King Black Dragon Champion,Kill the King Black Dragon 25 times.,Kill Count,Medium,2,Y
King Black Dragon,Hide Penetration,Kill the King Black Dragon with a stab weapon.,Restriction,Medium,2,Y
King Black Dragon,Antifire Protection,Kill the King Black Dragon with an antifire potion active and an antidragon shield equipped.,Restriction,Medium,2,Y
King Black Dragon,Who Is the King Now?,Kill The King Black Dragon 10 times in a private instance without leaving the instance.,Stamina,Hard,3,Y
Kraken,Krakan't Hurt Me,Kill the Kraken 25 times in a private instance without leaving the room.,Stamina,Hard,3,Y
Kraken,Unnecessary Optimisation,Kill the Kraken after killing all four tentacles.,Mechanical,Hard,3,Y
Kraken,Kraken Adept,Kill the Kraken 20 times.,Kill Count,Hard,3,Y
Kraken,Ten-tacles,Kill the Kraken 50 times in a private instance without leaving the room.,Stamina,Elite,4,Y
Kraken,One Hundred Tentacles,Kill the Kraken 100 times in a private instance without leaving the room.,Stamina,Master,5,Y
Kree'arra,Kree'arra Adept,Kill Kree'arra 50 times.,Kill Count,Hard,3,
Kree'arra,Airborne Showdown,Finish off Kree'arra whilst all of his bodyguards are dead.,Mechanical,Hard,3,
Kree'arra,Kree'arra Veteran,Kill Kree'arra 100 times.,Kill Count,Elite,4,
Kree'arra,Collateral Damage,Kill Kree'arra in a private instance without ever attacking him directly.,Mechanical,Master,5,
Kree'arra,Swoop No More,Kill Kree'arra in a private instance without taking any melee damage from the boss or his bodyguards.,Perfection,Master,5,
Kree'arra,Feather Hunter,Kill Kree'arra 30 times in a private instance without leaving the room.,Stamina,Grandmaster,6,
Kree'arra,The Worst Ranged Weapon,Kill Kree'arra by only dealing damage to him with a salamander.,Restriction,Grandmaster,6,
K'ril Tsutsaroth,Demonbane Weaponry II,Finish off K'ril Tsutsaroth with a demonbane weapon.,Restriction,Hard,3,
K'ril Tsutsaroth,Demonic Showdown,Finish off K'ril Tsutsaroth whilst all of his bodyguards are dead.,Mechanical,Hard,3,
K'ril Tsutsaroth,K'ril Tsutsaroth Adept,Kill K'ril Tsutsaroth 50 times.,Kill Count,Hard,3,
K'ril Tsutsaroth,Yarr No More,Receive kill-credit for K'ril Tsutsaroth without him using his special attack.,Mechanical,Hard,3,Y
K'ril Tsutsaroth,K'ril Tsutsaroth Veteran,Kill K'ril Tsutsaroth 100 times.,Kill Count,Elite,4,
K'ril Tsutsaroth,The Bane of Demons,Defeat K'ril Tsutsaroth in a private instance using only demonbane spells.,Mechanical,Elite,4,
K'ril Tsutsaroth,Demonic Defence,Kill K'ril Tsutsaroth in a private instance without taking any of his melee hits.,Perfection,Elite,4,
K'ril Tsutsaroth,Ash Collector,Kill K'ril Tsutsaroth 20 times in a private instance without leaving the room.,Stamina,Grandmaster,6,
K'ril Tsutsaroth,Demon Whisperer,Kill K'ril Tsutsaroth in a private instance without ever being hit by his bodyguards.,Perfection,Grandmaster,6,
Kurask,Master of Broad Weaponry,Kill a Kurask.,Kill Count,Medium,2,Y
Leviathan,Leviathan Speed-Trialist,Kill the Leviathan in less than 1:50 without a slayer task.,Speed,Elite,4,
Leviathan,Leviathan Adept,Kill the Leviathan once.,Kill Count,Elite,4,
Leviathan,Serpentine Solo,Kill the Leviathan without stunning the boss more than once.,Mechanical,Master,5,
Leviathan,Leviathan Master,Kill the Leviathan 50 times.,Kill Count,Master,5,
Leviathan,Leviathan Speed-Chaser,Kill the Leviathan in less than 1:25 without a slayer task.,Speed,Master,5,
Leviathan,Perfect Leviathan,Kill the Leviathan perfectly 5 times without leaving.,Perfection,Master,5,
Leviathan,Unconventional,Kill the Leviathan using only Mithril ammunition whilst having no more than 25 Hitpoints throughout the entire fight.,Restriction,Grandmaster,6,
Leviathan,Leviathan Speed-Runner,Kill the Leviathan in less than 1:10 without a slayer task.,Speed,Grandmaster,6,
Leviathan,Leviathan Sleeper,Kill the Awakened Leviathan.,Kill Count,Grandmaster,6,
Lizardman Shaman,A Scaley Encounter,Kill a Lizardman Shaman.,Kill Count,Easy,1,Y
Lizardman Shaman,Shayzien Protector,Kill a Lizardman Shaman in Molch which has not dealt damage to anyone. (excluding its Spawns),Perfection,Easy,1,Y
Moons of Peril,Perilous Novice,Open the Reward Chest 5 times.,Kill Count,Medium,2,Y
Moons of Peril,Back to Our Roots,Defeat all three Moons in one run by only attacking with a Dragon Scimitar.,Restriction,Medium,2,Y
Moons of Peril,Moons of Peril Speed-Trialist,Defeat all three Moons in one run in under 8 minutes.,Speed,Medium,2,Y
Moons of Peril,Lunar Triplet,Open the Reward Chest after defeating all three Moons.,Kill Count,Medium,2,Y
Moons of Peril,Fortified,Defeat a Moon without consuming any supplies.,Restriction,Hard,3,Y
Moons of Peril,Perilous Dancer,Defeat all the Moons in one run while only taking damage from regular attacks.,Perfection,Hard,3,Y
Moons of Peril,Perilous Champion,Open the Reward Chest 25 times.,Kill Count,Hard,3,Y
Moons of Peril,Moons of Peril Speed-Chaser,Defeat all three Moons in one run in under 6 minutes.,Speed,Hard,3,Y
Moons of Peril,Fat of the Land,Defeat 30 Moons of Peril bosses without leaving the dungeon.,Stamina,Hard,3,Y
Moons of Peril,Betrayal,Defeat a Moon using its associated weapon drop.,Restriction,Hard,3,Y
Moons of Peril,The Clone Zone,Defeat the Eclipse moon by only attacking its clones.,Mechanical,Hard,3,Y
Moons of Peril,High Hitter,Defeat a Moon before they start their second special attack.,Mechanical,Elite,4,Y
N/A,Into the Den of Giants,"Kill a Hill Giant, Moss Giant and Fire Giant in the Giant Cave within the Shayzien region.",Kill Count,Easy,1,Y
N/A,Sit Back and Relax,Deal 100 damage to creatures using undead thralls.,Mechanical,Medium,2,Y
Nex,Nex Veteran,Kill Nex once.,Kill Count,Elite,4,Y
Nex,Nex Survivors,Kill Nex without anyone dying.,Restriction,Elite,4,Y
Nex,Nex Trio,Kill Nex with three or less players at the start of the fight.,Restriction,Master,5,
Nex,Contain this!,Kill Nex without anyone taking damage from any Ice special attack.,Mechanical,Master,5,Y
Nex,Shadows Move...,Kill Nex without anyone being hit by the Shadow Smash attack.,Mechanical,Master,5,Y
Nex,A siphon will solve this,Kill Nex without letting her heal from her Blood Siphon special attack.,Mechanical,Master,5,Y
Nex,Nex Master,Kill Nex 25 times.,Kill Count,Master,5,Y
Nex,There is no escape!,Kill Nex without anyone being hit by the Smoke Dash special attack.,Mechanical,Master,5,Y
Nex,Nex Duo,Kill Nex with two or less players at the start of the fight.,Restriction,Grandmaster,6,
Nex,I should see a doctor,Kill Nex whilst a player is coughing.,Restriction,Grandmaster,6,
Nex,Perfect Nex,"Kill Nex whilst completing the requirements for ""There is no escape"", ""Shadows move"", ""A siphon will solve this"", and ""Contain this!""",Perfection,Grandmaster,6,
Obor,Fighting as Intended,Kill Obor on a free to play world.,Restriction,Easy,1,Y
Obor,Obor Novice,Kill Obor once.,Kill Count,Easy,1,Y
Obor,Sleeping Giant,Kill Obor whilst he is immobilized.,Mechanical,Easy,1,Y
Obor,Squashing the Giant,Kill Obor without taking any damage off prayer.,Perfection,Medium,2,Y
Obor,Obor Champion,Kill Obor 5 times.,Kill Count,Medium,2,Y
Obor,Back to the Wall,Kill Obor without being pushed back more than one square by his knockback attack.,Mechanical,Medium,2,Y
Phantom Muspah,Phantom Muspah Adept,Kill the Phantom Muspah.,Kill Count,Hard,3,Y
Phantom Muspah,Can't Escape,Kill the Phantom Muspah without running.,Restriction,Elite,4,Y
Phantom Muspah,Phantom Muspah Speed-Trialist,Kill the Phantom Muspah in less than 3 minutes without a slayer task.,Speed,Elite,4,Y
Phantom Muspah,Phantom Muspah Veteran,Kill the Phantom Muspah 25 times.,Kill Count,Elite,4,Y
Phantom Muspah,Versatile Drainer,Drain the Phantom Muspah's Prayer with three different sources in one kill.,Mechanical,Elite,4,Y
Phantom Muspah,Walk Straight Pray True,Kill the Phantom Muspah without taking any avoidable damage.,Perfection,Master,5,Y
Phantom Muspah,Essence Farmer,Kill the Phantom Muspah 10 times in one trip.,Stamina,Master,5,
Phantom Muspah,Phantom Muspah Master,Kill the Phantom Muspah 50 times.,Kill Count,Master,5,Y
Phantom Muspah,Phantom Muspah Speed-Chaser,Kill the Phantom Muspah in less than 2 minutes without a slayer task.,Speed,Master,5,
Phantom Muspah,Space is Tight,Kill the Phantom Muspah whilst it is surrounded by spikes.,Mechanical,Master,5,Y
Phantom Muspah,More than just a ranged weapon,Kill the Phantom Muspah by only dealing damage to it with a salamander.,Restriction,Master,5,Y
Phantom Muspah,Phantom Muspah Speed-Runner,Kill the Phantom Muspah in less than 1 minute and 30 seconds without a slayer task.,Speed,Grandmaster,6,
Phantom Muspah,Phantom Muspah Manipulator,"Kill the Phantom Muspah whilst completing Walk Straight Pray True, Space is Tight & Can't Escape.",Perfection,Grandmaster,6,
Phosani's Nightmare,Phosani's Veteran,Kill Phosani's Nightmare once.,Kill Count,Elite,4,
Phosani's Nightmare,Phosani's Master,Kill Phosani's Nightmare 5 times.,Kill Count,Master,5,
Phosani's Nightmare,I Would Simply React,Kill Phosani's Nightmare without allowing your prayer to be disabled.,Mechanical,Master,5,
Phosani's Nightmare,Dreamland Express,Kill Phosani's Nightmare without a sleepwalker reaching her during her desperation phase.,Mechanical,Master,5,
Phosani's Nightmare,Phosani's Speedchaser,Defeat Phosani's Nightmare within 9 minutes.,Speed,Master,5,
Phosani's Nightmare,Crush Hour,Kill Phosani's Nightmare while killing every parasite and husk in one hit.,Mechanical,Master,5,
Phosani's Nightmare,Phosani's Speedrunner,Defeat Phosani's Nightmare within 7:30 minutes.,Speed,Grandmaster,6,
Phosani's Nightmare,Phosani's Grandmaster,Kill Phosani's Nightmare 25 times.,Kill Count,Grandmaster,6,
Phosani's Nightmare,Perfect Phosani's Nightmare,"Kill Phosani's Nightmare while only taking damage from husks, power blasts and weakened Parasites. Also, without having your attacks slowed by the Nightmare Spores or letting a Sleepwalker reach Phosani's Nightmare.",Perfection,Grandmaster,6,
Phosani's Nightmare,Can't Wake Up,Kill Phosani's Nightmare 5 times in a row without leaving Phosani's Dream.,Stamina,Grandmaster,6,
Sarachnis,Sarachnis Novice,Kill Sarachnis 10 times.,Kill Count,Easy,1,Y
Sarachnis,Newspaper Enthusiast,Kill Sarachnis with a crush weapon.,Restriction,Medium,2,Y
Sarachnis,Sarachnis Champion,Kill Sarachnis 25 times.,Kill Count,Medium,2,Y
Sarachnis,Ready to Pounce,Kill Sarachnis without her using her range attack twice in a row.,Mechanical,Hard,3,Y
Sarachnis,Inspect Repellent,Kill Sarachnis without her dealing damage to anyone.,Perfection,Hard,3,Y
Scorpia,I Can't Reach That,Kill Scorpia without taking any damage from her.,Perfection,Hard,3,Y
Scorpia,Scorpia Adept,Kill Scorpia 10 times.,Kill Count,Hard,3,Y
Scorpia,Guardians No More,Kill Scorpia without killing her guardians.,Restriction,Hard,3,Y
Scorpia,Scorpia Veteran,Kill Scorpia 25 times.,Kill Count,Elite,4,Y
Scurrius,Sit Rat,Finish off Scurrius with a ratbane weapon in a private instance.,Restriction,Easy,1,Y
Scurrius,Scurrius Novice,Kill Scurrius once.,Kill Count,Easy,1,Y
Scurrius,Scurrius Champion,Kill Scurrius 10 times.,Kill Count,Medium,2,Y
Scurrius,Efficient Pest Control,Kill 6 Giant Rats within Scurrius' lair in 3 seconds.,Mechanical,Medium,2,Y
Scurrius,Perfect Scurrius,Kill Scurrius in a private instance without taking damage from the following attacks: Tail Swipe and Falling Bricks. Pray correctly against the following attacks: Flying Fur and Bolts of Electricity.,Perfection,Medium,2,Y
Skeletal Wyvern,A Frozen Foe from the Past,Kill a Skeletal Wyvern,Kill Count,Medium,2,Y
Skotizo,Demonbane Weaponry,Kill Skotizo with a demonbane weapon equipped.,Restriction,Medium,2,Y
Skotizo,Skotizo Champion,Kill Skotizo once.,Kill Count,Medium,2,Y
Skotizo,Demonic Weakening,Kill Skotizo with no altars active.,Mechanical,Medium,2,Y
Skotizo,Skotizo Adept,Kill Skotizo 5 times.,Kill Count,Hard,3,Y
Skotizo,Demon Evasion,Kill Skotizo without taking any damage.,Perfection,Elite,4,Y
Skotizo,Up for the Challenge,Kill Skotizo without equipping a demonbane weapon.,Restriction,Elite,4,Y
Skotizo,Precise Positioning,Kill Skotizo with the final source of damage being a Chinchompa explosion.,Restriction,Master,5,Y
Tempoross,Tempoross Novice,Subdue Tempoross 5 times.,Kill Count,Easy,1,Y
Tempoross,Calm Before the Storm,Repair either a mast or a totem pole.,Mechanical,Easy,1,Y
Tempoross,Fire in the Hole!,Attack Tempoross from both sides by loading both cannons on both ships.,Mechanical,Easy,1,Y
Tempoross,Master of Buckets,Extinguish at least 5 fires during a single Tempoross fight.,Mechanical,Easy,1,Y
Tempoross,The Lone Angler,"Subdue Tempoross alone without getting hit by any fires, torrents or waves.",Perfection,Medium,2,Y
Tempoross,Tempoross Champion,Subdue Tempoross 10 times.,Kill Count,Medium,2,Y
Tempoross,Why Cook?,"Subdue Tempoross, getting rewarded with 10 reward permits from a single Tempoross fight.",Mechanical,Hard,3,Y
Tempoross,Dress Like You Mean It,Subdue Tempoross while wearing any variation of the angler outfit.,Restriction,Hard,3,Y
The Hueycoatl,Hueycoatl Champion,Kill the Hueycoatl once.,Kill Count,Medium,2,Y
The Hueycoatl,You're a wizard,Kill the Hueycoatl using only earth spells.,Restriction,Medium,2,Y
The Hueycoatl,Hueycoatl Adept,Kill the Hueycoatl 10 times.,Kill Count,Hard,3,
The Hueycoatl,I'm your son,Kill the Hueycoatl whilst wearing two pieces of Hueycoatl armour.,Restriction,Hard,3,Y
The Hueycoatl,Pillar Lover,Kill the Hueycoatl whilst it is vulnerable.,Mechanical,Hard,3,
The Hueycoatl,Hueycoatl Veteran,Kill the Hueycoatl 25 times.,Kill Count,Elite,4,
The Hueycoatl,Perfect Hueycoatl,Kill the Hueycoatl perfectly 5 times without leaving.,Perfection,Elite,4,
The Hueycoatl,Hueycoatl Speed-Trialist,Kill the Hueycoatl in 2:30,Speed,Elite,4,
The Hueycoatl,Hueycoatl Speed-Chaser,Kill the Hueycoatl in 2:30 with five or fewer players.,Speed,Master,5,
The Hueycoatl,Is it a bird?,Kill the Hueycoatl using only dragonbane weaponry.,Restriction,Master,5,
The Hueycoatl,Hueycoatl Speed-Runner,Kill the Hueycoatl in 2:30 with three or fewer players.,Speed,Grandmaster,6,
The Mimic,Mimic Veteran,Kill the Mimic once.,Kill Count,Elite,4,
The Nightmare,Nightmare Adept,Kill The Nightmare once.,Kill Count,Hard,3,
The Nightmare,Sleep Tight,Kill the Nightmare solo.,Restriction,Elite,4,
The Nightmare,Nightmare (5-Scale) Speed-Trialist,Defeat the Nightmare (5-scale) in less than 5 minutes.,Speed,Elite,4,
The Nightmare,Nightmare Veteran,Kill The Nightmare 25 times.,Kill Count,Elite,4,
The Nightmare,Explosion!,Kill two Husks at the same time.,Mechanical,Elite,4,
The Nightmare,Nightmare (Solo) Speed-Trialist,Defeat the Nightmare (Solo) in less than 23 minutes.,Speed,Elite,4,
The Nightmare,Nightmare Master,Kill The Nightmare 50 times.,Kill Count,Master,5,
The Nightmare,Nightmare (5-Scale) Speed-Chaser,Defeat the Nightmare (5-scale) in less than 4 minutes.,Speed,Master,5,
The Nightmare,Nightmare (Solo) Speed-Chaser,Defeat the Nightmare (Solo) in less than 19 minutes.,Speed,Master,5,
The Nightmare,Perfect Nightmare,"Kill the Nightmare without any player taking damage from the following attacks: Nightmare rifts, an un-cured parasite explosion, Corpse flowers or the Nightmare's Surge. Also, no player can take damage off prayer or have their attacks slowed by the Nightmare spores.",Perfection,Master,5,
The Nightmare,A Long Trip,Kill the Nightmare without any player losing any prayer points.,Restriction,Grandmaster,6,
The Nightmare,Terrible Parent,Kill the Nightmare solo without the Parasites healing the boss for more than 100 health.,Mechanical,Grandmaster,6,
The Nightmare,Nightmare (5-Scale) Speed-Runner,Defeat the Nightmare (5-scale) in less than 3:30 minutes.,Speed,Grandmaster,6,
The Nightmare,Nightmare (Solo) Speed-Runner,Defeat the Nightmare (Solo) in less than 16 minutes.,Speed,Grandmaster,6,
Theatre of Blood,Theatre of Blood Veteran,Complete the Theatre of Blood 25 times.,Kill Count,Elite,4,
Theatre of Blood,Perfect Bloat,"Kill the Pestilent Bloat without anyone in the team taking damage from the following sources: Pestilent flies, Falling body parts or The Pestilent Bloats stomp attack.",Perfection,Master,5,
Theatre of Blood,Can't Drain This,Kill The Maiden of Sugadinti without anyone in the team losing any prayer points.,Restriction,Master,5,
Theatre of Blood,Theatre (4-Scale) Speed-Chaser,Complete the Theatre of Blood (4-scale) in less than 17 minutes.,Speed,Master,5,
Theatre of Blood,Two-Down,Kill the Pestilent Bloat before he shuts down for the third time.,Mechanical,Master,5,
Theatre of Blood,Perfect Nylocas,"Kill the Nylocas Vasilias without anyone in the team attacking any Nylocas with the wrong attack style, without letting a pillar collapse and without getting hit by any of the Nylocas Vasilias attacks whilst off prayer.",Perfection,Master,5,
Theatre of Blood,Theatre (Trio) Speed-Chaser,Complete the Theatre of Blood (Trio) in less than 20 minutes.,Speed,Master,5,
Theatre of Blood,Theatre of Blood Master,Complete the Theatre of Blood 75 times.,Kill Count,Master,5,
Theatre of Blood,Perfect Verzik,Defeat Verzik Vitur without anyone in the team taking damage from Verzik Vitur's attacks other than her spider form's correctly prayed against regular magical and ranged attacks.,Perfection,Master,5,
Theatre of Blood,A Timely Snack,Kill Sotetseg after surviving at least 3 ball attacks without sharing the damage and without anyone dying throughout the fight.,Mechanical,Master,5,
Theatre of Blood,Can You Dance?,Kill Xarpus without anyone in the team using a ranged or magic weapon.,Restriction,Master,5,
Theatre of Blood,Perfect Maiden,"Kill The Maiden of Sugadinti without anyone in the team taking damage from the following sources: Blood Spawn projectiles and Blood Spawn trails. Also, without taking damage off prayer and without letting any of the Nylocas Matomenos heal The Maiden.",Perfection,Master,5,
Theatre of Blood,Perfect Sotesteg,"Kill Sotetseg without anyone in the team stepping on the wrong tile in the maze, without getting hit by the tornado and without taking any damage from Sotetseg's attacks whilst off prayer.",Perfection,Master,5,
Theatre of Blood,Pop It,Kill Verzik without any Nylocas being frozen and without anyone taking damage from the Nylocas.,Mechanical,Master,5,
Theatre of Blood,Back in My Day...,Complete the Theatre of Blood without any member of the team equipping a Scythe of Vitur.,Restriction,Master,5,
Theatre of Blood,Perfect Xarpus,Kill Xarpus without anyone in the team taking any damage from Xarpus' attacks and without letting an exhumed heal Xarpus more than twice.,Perfection,Master,5,
Theatre of Blood,Theatre (5-Scale) Speed-Chaser,Complete the Theatre of Blood (5-scale) in less than 16 minutes.,Speed,Master,5,
Theatre of Blood,Theatre (5-Scale) Speed-Runner,Complete the Theatre of Blood (5-scale) in less than 14 minutes and 15 seconds.,Speed,Grandmaster,6,
Theatre of Blood,Theatre (Duo) Speed-Runner,Complete the Theatre of Blood (Duo) in less than 26 minutes.,Speed,Grandmaster,6,
Theatre of Blood,Perfect Theatre,"Complete the Theatre of Blood without anyone dying through any means and whilst everyone in the team completes the following Combat Achievement tasks in a single run: ""Perfect Maiden"", ""Perfect Bloat"", ""Perfect Nylocas"", ""Perfect Sotetseg"", ""Perfect Xarpus"" and ""Perfect Verzik"".",Perfection,Grandmaster,6,
Theatre of Blood,Theatre (Trio) Speed-Runner,Complete the Theatre of Blood (Trio) in less than 17 minutes and 30 seconds.,Speed,Grandmaster,6,
Theatre of Blood,Morytania Only,Complete the Theatre of Blood without any member of the team equipping a non-barrows weapon (except Dawnbringer).,Restriction,Grandmaster,6,
Theatre of Blood,Theatre of Blood Grandmaster,Complete the Theatre of Blood 150 times.,Kill Count,Grandmaster,6,
Theatre of Blood,Theatre (4-Scale) Speed-Runner,Complete the Theatre of Blood (4-scale) in less than 15 minutes.,Speed,Grandmaster,6,
Theatre of Blood: Entry Mode,Theatre of Blood: SM Adept,Complete the Theatre of Blood: Entry Mode 1 time.,Kill Count,Hard,3,Y
Theatre of Blood: Entry Mode,Pass It On,"In the Theatre of Blood: Entry Mode, successfully pass on the green ball to a team mate.",Mechanical,Elite,4,
Theatre of Blood: Entry Mode,Appropriate Tools,Defeat the Pestilent Bloat in the Theatre of Blood: Entry Mode with everyone having a salve amulet equipped.,Mechanical,Elite,4,Y
Theatre of Blood: Entry Mode,Anticoagulants,Defeat the Maiden of Sugadinti in the Theatre of Blood: Entry Mode without letting any bloodspawn live for longer than 10 seconds.,Mechanical,Elite,4,
Theatre of Blood: Entry Mode,"Attack, Step, Wait",Survive Verzik Vitur's second phase in the Theatre of Blood: Entry Mode without anyone getting bounced by Verzik.,Mechanical,Elite,4,Y
Theatre of Blood: Entry Mode,Chally Time,Defeat the Pestilent Bloat in the Theatre of Blood: Entry Mode by using a crystal halberd special attack as your final attack.,Mechanical,Elite,4,
Theatre of Blood: Entry Mode,Just To Be Safe,Defeat Sotetseg in the Theatre of Blood: Entry Mode after having split the big ball with your entire team. This must be done with a group size of at least 2.,Mechanical,Elite,4,
Theatre of Blood: Entry Mode,They Won't Expect This,"In the Theatre of Blood: Entry Mode, enter the Pestilent Bloat room from the opposite side.",Mechanical,Elite,4,
Theatre of Blood: Entry Mode,No-Pillar,Survive Verzik Vitur's pillar phase in the Theatre of Blood: Entry Mode without losing a single pillar.,Mechanical,Elite,4,Y
Theatre of Blood: Entry Mode,Don't Look at Me!,Kill Xarpus in the Theatre of Blood: Entry Mode without him reflecting any damage to anyone.,Mechanical,Elite,4,
Theatre of Blood: Entry Mode,"Nylocas, On the Rocks","In the Theatre of Blood: Entry Mode, freeze any 4 Nylocas with a single Ice Barrage spell.",Mechanical,Elite,4,
Theatre of Blood: Entry Mode,Theatre of Blood: SM Speed-Chaser,Complete the Theatre of Blood: Entry Mode in less than 17 minutes.,Speed,Master,5,
Theatre of Blood: Hard Mode,Hard Mode? Completed It,Complete the Theatre of Blood: Hard Mode within the challenge time.,Speed,Master,5,
Theatre of Blood: Hard Mode,Personal Space,"Defeat the Pestilent Bloat in the Theatre of Blood: Hard Mode with a least 3 people in the room, without anyone in your team standing on top of each other.",Mechanical,Grandmaster,6,
Theatre of Blood: Hard Mode,Team Work Makes the Dream Work,"When Verzik Vitur in the Theatre of Blood: Hard Mode uses her yellow power blast attack while the tornadoes are active, have everyone get through the attack without taking damage. This cannot be completed with one player alive",Mechanical,Grandmaster,6,
Theatre of Blood: Hard Mode,Royal Affairs,"In the Theatre of Blood: Hard Mode, complete the Nylocas room without ever letting the Nylocas Prinkipas change styles.",Mechanical,Grandmaster,6,
Theatre of Blood: Hard Mode,Harder Mode III,Defeat Verzik Vitur in the Theatre of Blood: Hard Mode without anyone attacking her with a melee weapon during her third phase.,Restriction,Grandmaster,6,
Theatre of Blood: Hard Mode,Stop Right There!,Defeat the Maiden of Sugadinti in the Theatre of Blood: Hard Mode without letting blood spawns create more than 15 blood trails.,Mechanical,Grandmaster,6,
Theatre of Blood: Hard Mode,Harder Mode I,"Defeat Sotetseg in the Theatre of Blood: Hard Mode without anyone sharing the ball with anyone, without anyone dying, and without anyone taking damage from any of its other attacks or stepping on the wrong tile in the maze.",Perfection,Grandmaster,6,
Theatre of Blood: Hard Mode,Harder Mode II,Defeat Xarpus in the Theatre of Blood: Hard Mode after letting the exhumeds heal him to full health and without anyone in the team taking any damage.,Perfection,Grandmaster,6,
Theatre of Blood: Hard Mode,Theatre: HM (5-Scale) Speed-Runner,Complete the Theatre of Blood: Hard Mode (5-scale) with an overall time of less than 19 minutes.,Speed,Grandmaster,6,
Theatre of Blood: Hard Mode,Theatre: HM (4-Scale) Speed-Runner,Complete the Theatre of Blood: Hard Mode (4-scale) with an overall time of less than 21 minutes.,Speed,Grandmaster,6,
Theatre of Blood: Hard Mode,Nylo Sniper,Defeat Verzik Vitur's in the Theatre of Blood: Hard Mode without anyone in your team causing a Nylocas to explode by getting too close.,Mechanical,Grandmaster,6,
Theatre of Blood: Hard Mode,Pack Like a Yak,"Complete the Theatre of Blood: Hard Mode within the challenge time, with no deaths and without anyone buying anything from a supply chest.",Restriction,Grandmaster,6,
Theatre of Blood: Hard Mode,Theatre of Blood: HM Grandmaster,Complete the Theatre of Blood: Hard Mode 50 times.,Kill Count,Grandmaster,6,
Theatre of Blood: Hard Mode,Theatre: HM (Trio) Speed-Runner,Complete the Theatre of Blood: Hard Mode (Trio) with an overall time of less than 23 minutes.,Speed,Grandmaster,6,
Thermonuclear Smoke Devil,Spec'd Out,Kill the Thermonuclear Smoke Devil using only special attacks.,Restriction,Elite,4,Y
Thermonuclear Smoke Devil,Thermonuclear Veteran,Kill the Thermonuclear Smoke Devil 20 times.,Kill Count,Elite,4,Y
Thermonuclear Smoke Devil,Hazard Prevention,Kill the Thermonuclear Smoke Devil without it hitting anyone.,Perfection,Elite,4,Y
Tombs of Amascut,Hardcore Raiders,Complete the Tombs of Amascut in a group of two or more without anyone dying.,Perfection,Elite,4,Y
Tombs of Amascut,Perfect Crondis,"Complete the Crondis room without letting a crocodile get to the tree, without anyone losing water from their container and in under one minute.",Perfection,Elite,4,Y
Tombs of Amascut,No skipping allowed,"Defeat Ba-Ba after only attacking the non-weakened boulders in the rolling boulder phase, without dying yourself. The Boulderdash invocation must be activated.",Mechanical,Elite,4,
Tombs of Amascut,Perfect Apmeken,"Complete the Apmeken room in a group of two or more, without anyone allowing any dangers to trigger, standing in venom or being hit by a volatile baboon. You must complete this room in less than three minutes.",Perfection,Elite,4,
Tombs of Amascut,I'm in a rush,Defeat Ba-Ba after destroying four or fewer rolling boulders in total without dying yourself.,Mechanical,Elite,4,
Tombs of Amascut,Hardcore Tombs,Complete the Tombs of Amascut solo without dying.,Perfection,Elite,4,Y
Tombs of Amascut,Down Do Specs,"Defeat the Wardens after staggering the boss a maximum of twice during phase two, without dying yourself.",Mechanical,Elite,4,
Tombs of Amascut,Dropped the ball,Defeat Akkha without dropping any materialising orbs and without dying yourself.,Mechanical,Elite,4,Y
Tombs of Amascut,Tomb Explorer,Complete the Tombs of Amascut once.,Kill Count,Elite,4,Y
Tombs of Amascut,Perfect Het,Complete the Het room without taking any damage from the light beam and orbs. You must destroy the core after one exposure.,Perfection,Elite,4,
